Month_Name,Link clicks,Landing page views,Results,Amount spent (USD),Clicks_Lag1,Results_Current
Jul,1915.0,965.0,32.0,9499.91,,32.0
Aug,2425.0,1366.0,52.0,12644.91,1915.0,52.0
Sep,2554.0,1197.0,32.0,14174.28,2425.0,32.0
Oct,3548.0,1611.0,43.0,20299.81,2554.0,43.0
Nov,3344.0,1479.0,34.0,14981.62,3548.0,34.0
Dec,3686.0,1828.0,61.0,17391.74,3344.0,61.0
Jan,4245.0,2278.0,64.0,16517.41,3686.0,64.0
Feb,3205.0,1876.0,56.0,14851.14,4245.0,56.0
Mar,2945.0,1750.0,43.0,12373.8,3205.0,43.0
Apr,3039.0,1886.0,40.0,11827.43,2945.0,40.0
May,5507.0,3123.0,74.0,29557.07,3039.0,74.0
Jun,4695.0,2656.0,88.0,31329.46,5507.0,88.0
